""," "," "," "," "," "," ","Unadjusted difference: Intervention vs. Control"," ","Age- and sex- adjusted difference: Intervention vs. Control"," ","Fully adjusted difference: Intervention vs. Control"," ","IPCW adjusted difference: Intervention vs. Control"," "
"34","Nutrition + WSH","265","-2.81","11.11","-0.27","0.89","-0.04 (-0.25, 0.16)","1","-0.05 (-0.25, 0.15)","1","-0.02 (-0.21, 0.17)","1","0.01 (-0.2, 0.21)","1"
"35","Ln Î<U+0094>IL-2 (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"36","Control","216","0.05","1.41","0.13","1.39"," "," "," "," "," "," "," "," "
"37","Nutrition + WSH","257","0.51","7.94","-0.03","1.53","-0.16 (-0.52, 0.19)","0.73","-0.17 (-0.51, 0.17)","0.64","-0.11 (-0.4, 0.18)","0.92","-0.19 (-0.61, 0.23)","0.75"
"38","Ln Î<U+0094>GM-CSF (pg/ml)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"39","Control","218","48.57","249.62","0.42","0.92"," "," "," "," "," "," "," "," "
"40","Nutrition + WSH","268","97.86","272.83","0.63","1.09","0.2 (-0.02, 0.43)","0.15","0.19 (-0.04, 0.42)","0.2","0.11 (-0.12, 0.33)","0.7","0.19 (-0.11, 0.49)","0.41"
"41","Ln Î<U+0094>IGF-1 (Ã<U+008E>Â¼g/L)"," "," "," "," "," "," "," "," "," "," "," "," "," "
"42","Control","209","12.64","21.47","0.33","0.55"," "," "," "," "," "," "," "," "
"43","Nutrition + WSH","240","10.97","20.97","0.31","0.54","-0.02 (-0.11, 0.08)","1","-0.03 (-0.12, 0.07)","1","-0.06 (-0.16, 0.05)","0.64","-0.05 (-0.14, 0.04)","0.6"
