""," ","Female"," "," "," "," ","Male"," "," "," "," ","P-value for interaction"
"76","Nutrition + WSH","189","1.35","0.67","-0.11 (-0.26, 0.03)","0.13","173","1.44","0.75","-0.18 (-0.34, -0.02)","0.03","0.54"
"77","Ln Th17/IL-10","","","","","","","","","","",""
"78","Control","155","0.97","0.55","","","152","1.08","0.6","","",""
"79","Nutrition + WSH","186","0.92","0.63","-0.05 (-0.18, 0.08)","0.45","172","0.97","0.76","-0.1 (-0.25, 0.05)","0.17","0.57"
"80","Ln Th1/Th2","","","","","","","","","","",""
"81","Control","158","0.08","0.42","","","153","-0.08","0.58","","",""
"82","Nutrition + WSH","189","-0.02","0.54","-0.1 (-0.21, 0.02)","0.11","177","0.03","0.47","0.11 (-0.03, 0.25)","0.12","0.02"
"83","Ln Th1/Th17","","","","","","","","","","",""
"84","Control","156","0.58","0.41","","","152","0.48","0.49","","",""
"85","Nutrition + WSH","186","0.42","0.51","-0.16 (-0.28, -0.04)","0.01","176","0.51","0.46","0.03 (-0.09, 0.14)","0.64","0.01"
