""," "," "," "," "," "," ","Unadjusted difference: Intervention vs. Control"," ","Fully adjusted difference: Intervention vs. Control"," "
"48","Control","218","1.17","10.28","0.05","0.8"," "," "," "," "
"49","Nutrition + WSH","268","1.19","9.23","0.1","0.95","0.06 (-0.11, 0.23)","1","0.1 (-0.08, 0.27)","0.56"
"50","Ln Ã<U+008E>Â<U+0094>IL-12/IL-13"," "," "," "," "," "," "," "," "," "
"51","Control","216","0.09","1.41","-0.08","1"," "," "," "," "
"52","Nutrition + WSH","265","0.08","2.8","0.27","1.18","0.35 (0.14, 0.57)","0","0.35 (0.12, 0.58)","0.01"
"53","Ln Ã<U+008E>Â<U+0094>IFN-Ã<U+008E>Â³/IL-13"," "," "," "," "," "," "," "," "," "
"54","Control","216","0.46","6.99","-0.05","0.92"," "," "," "," "
"55","Nutrition + WSH","266","0.42","7.89","0.19","1.07","0.24 (0.03, 0.44)","0.05","0.19 (0, 0.38)","0.1"
"56","Ln Ã<U+008E>Â<U+0094>IL-12/IL-17A"," "," "," "," "," "," "," "," "," "
"57","Control","218","0.11","0.78","0.08","0.75"," "," "," "," "
"58","Nutrition + WSH","267","-0.04","0.6","0","0.8","-0.08 (-0.23, 0.08)","0.63","-0.1 (-0.25, 0.05)","0.42"
"59","Ln Ã<U+008E>Â<U+0094>IFN-Ã<U+008E>Â³/IL-17A"," "," "," "," "," "," "," "," "," "
"60","Control","218","0.4","3.76","0.11","0.64"," "," "," "," "
"61","Nutrition + WSH","268","-0.3","5.61","-0.06","0.68","-0.17 (-0.32, -0.03)","0.04","-0.16 (-0.31, -0.01)","0.06"
"62","Ln Ã<U+008E>Â<U+0094>IL-12/IL-21"," "," "," "," "," "," "," "," "," "
"63","Control","210","-0.22","7.35","-0.09","1.37"," "," "," "," "
"64","Nutrition + WSH","259","0.85","8.36","0.18","1.48","0.27 (-0.06, 0.6)","0.23","0.12 (-0.21, 0.46)","0.94"
"65","Ln Ã<U+008E>Â<U+0094>IFN-Ã<U+008E>Â³/IL-21"," "," "," "," "," "," "," "," "," "
"66","Control","210","0.25","24.1","-0.06","1.29"," "," "," "," "
"67","Nutrition + WSH","260","1.99","28.58","0.11","1.38","0.17 (-0.12, 0.46)","0.51","0.05 (-0.29, 0.38)","1"
"68","Ln Ã<U+008E>Â<U+0094>Pro-inflammatory cytokines/IL-10"," "," "," "," "," "," "," "," "," "
"69","Control","216"," "," ","0.59","0.78"," "," "," "," "
"70","Nutrition + WSH","260"," "," ","0.52","0.88","-0.06 (-0.22, 0.1)","0.88","-0.07 (-0.23, 0.1)","0.88"
"71","Ln Ã<U+008E>Â<U+0094>Th1/IL-10"," "," "," "," "," "," "," "," "," "
"72","Control","216"," "," ","0.38","0.74"," "," "," "," "
"73","Nutrition + WSH","264"," "," ","0.41","0.7","0.03 (-0.14, 0.2)","1","0.04 (-0.13, 0.21)","1"
"74","Ln Ã<U+008E>Â<U+0094>Th2/IL-10"," "," "," "," "," "," "," "," "," "
"75","Control","215"," "," ","0.69","0.82"," "," "," "," "
"76","Nutrition + WSH","262"," "," ","0.53","0.84","-0.15 (-0.32, 0.02)","0.15","-0.19 (-0.36, -0.02)","0.06"
"77","Ln Ã<U+008E>Â<U+0094>Th17/IL-10"," "," "," "," "," "," "," "," "," "
"78","Control","208"," "," ","0.28","0.86"," "," "," "," "
"79","Nutrition + WSH","257"," "," ","0.34","0.87","0.06 (-0.1, 0.22)","0.91","0.09 (-0.08, 0.26)","0.62"
"80","Ln Ã<U+008E>Â<U+0094>Th1/Th2"," "," "," "," "," "," "," "," "," "
"81","Control","216"," "," ","-0.31","0.54"," "," "," "," "
"82","Nutrition + WSH","264"," "," ","-0.13","0.62","0.18 (0.06, 0.29)","0","0.18 (0.06, 0.31)","0.01"
"83","Ln Ã<U+008E>Â<U+0094>Th1/Th17"," "," "," "," "," "," "," "," "," "
"84","Control","210"," "," ","0.12","0.57"," "," "," "," "
"85","Nutrition + WSH","259"," "," ","0.07","0.68","-0.05 (-0.18, 0.08)","0.89","-0.07 (-0.2, 0.06)","0.59"
