"","Outcome, Arm","N","Absolute Mean","Absolute SD","Mean","SD","Unadjusted difference: Intervention vs. Control (95% CI)","P-value","Fully adjusted difference: Intervention vs. Control (95% CI)","P-value"
"30","Nutrition + WSH","304","0.27","0.61","-1.87","1.01","-0.01 (-0.21, 0.19)","1","-0.08 (-0.28, 0.13)","1"
"31","Ln IL-2/IL-10"," "," "," "," "," "," ","0.04"," ","0.08"
"32","Control","282","0.18","0.67","-2.65","1.19"," ","0"," ","0"
"33","Nutrition + WSH","303","0.22","1.33","-2.65","1.25","0 (-0.26, 0.25)","0.1","-0.12 (-0.39, 0.15)","0.26"
"34","Ln GM-CSF/IL-10"," "," "," "," "," "," ","1"," ","1"
"35","Control","284","0.13","0.24","1.89","0.99"," ","0.52"," ","0.62"
"36","Nutrition + WSH","310","0.14","0.37","1.73","0.96","-0.16 (-0.32, 0.01)","1","-0.13 (-0.3, 0.05)","1"
"37","Ln IL-12/IL-4"," "," "," "," "," "," ","0.04"," ","0.02"
"38","Control","285","0.06","0.02","-2.89","0.5"," ","1"," ","0.94"
"39","Nutrition + WSH","309","0.05","0.02","-3.08","0.66","-0.18 (-0.31, -0.06)","1","-0.18 (-0.29, -0.07)","0.8"
"40","Ln IFN-Ã<U+008E>Â³/IL-4"," "," "," "," "," "," ","0.14"," ","0.3"
"41","Control","285","0.18","0.07","-1.82","0.45"," ","0"," ","0"
"42","Nutrition + WSH","310","0.17","0.09","-1.93","0.55","-0.11 (-0.2, -0.01)","0.06","-0.08 (-0.18, 0.02)","0.26"
"43","Ln IL-12/IL-5"," "," "," "," "," "," ","0"," ","0"
"44","Control","285","2.15","3.54","0.49","0.65"," ","0"," ","0.08"
"45","Nutrition + WSH","310","1.52","0.79","0.22","0.77","-0.27 (-0.41, -0.13)","0.02","-0.23 (-0.38, -0.09)","0.02"
"46","Ln IFN-Ã<U+008E>Â³/IL-5"," "," "," "," "," "," ","0.16"," ","0.18"
"47","Control","285","6.17","8.64","1.56","0.62"," ","1"," ","1"
"48","Nutrition + WSH","311","4.92","5.61","1.37","0.68","-0.19 (-0.32, -0.06)","0.74","-0.15 (-0.29, 0)","0.38"
"49","Ln IL-12/IL-13"," "," "," "," "," "," ","0.18"," ","0.74"
"50","Control","285","0.72","0.64","-0.63","0.82"," ","0.66"," ","1"
"51","Nutrition + WSH","307","0.78","1.9","-0.85","0.95","-0.22 (-0.39, -0.05)","0.04","-0.23 (-0.4, -0.06)","0.08"
"52","Ln IFN-Ã<U+008E>Â³/IL-13"," "," "," "," "," "," ","0.1"," ","0.26"
"53","Control","285","2.12","2.53","0.44","0.77"," ","1"," ","1"
"54","Nutrition + WSH","308","2.42","5.22","0.3","0.92","-0.14 (-0.3, 0.02)","1","-0.14 (-0.3, 0.02)","0.94"
"55","Ln IL-12/IL-17A"," "," "," "," "," "," ","0.16"," ","0.18"
"56","Control","285","0.57","0.2","-0.64","0.45"," ","0.66"," ","1"
"57","Nutrition + WSH","310","0.61","0.51","-0.66","0.6","-0.02 (-0.12, 0.08)","1","0.02 (-0.09, 0.12)","1"
"58","Ln IFN-Ã<U+008E>Â³/IL-17A"," "," "," "," "," "," ","1"," ","1"
"59","Control","285","1.71","0.86","0.43","0.48"," ","0.04"," ","0.08"
"60","Nutrition + WSH","311","2.09","4.94","0.49","0.52","0.06 (-0.07, 0.18)","0","0.08 (-0.04, 0.19)","0"
"61","Ln IL-12/IL-21"," "," "," "," "," "," ","0.1"," ","0.26"
"62","Control","282","3.16","5.65","0.6","0.96"," ","1"," ","1"
"63","Nutrition + WSH","304","2.72","5.5","0.42","1.08","-0.19 (-0.4, 0.03)","0.52","-0.11 (-0.36, 0.13)","0.62"
"64","Ln IFN-Ã<U+008E>Â³/IL-21"," "," "," "," "," "," ","1"," ","1"
"65","Control","282","9.13","16.22","1.67","0.91"," ","0.04"," ","0.02"
"66","Nutrition + WSH","305","8.37","19.41","1.57","0.92","-0.1 (-0.29, 0.1)","1","-0.03 (-0.24, 0.18)","0.94"
"67","Ln Pro-inflammatory cytokines/IL-10"," "," "," "," "," "," ","1"," ","0.8"
"68","Control","284"," "," ","0.4","0.69"," ","0.14"," ","0.3"
"69","Nutrition + WSH","310"," "," ","0.28","0.66","-0.12 (-0.23, -0.02)","0","-0.11 (-0.22, 0)","0"
"70","Ln Th1/IL-10"," "," "," "," "," "," ","0.06"," ","0.26"
"71","Control","284"," "," ","0.39","0.57"," ","0"," ","0"
"72","Nutrition + WSH","310"," "," ","0.28","0.6","-0.11 (-0.22, 0)","0","-0.08 (-0.19, 0.03)","0.08"
"73","Ln Th2/IL-10"," "," "," "," "," "," ","0.02"," ","0.02"
"74","Control","284"," "," ","-1.1","0.94"," ","0.16"," ","0.18"
"75","Nutrition + WSH","308"," "," ","-1.07","1","0.02 (-0.17, 0.22)","1","0.04 (-0.16, 0.24)","1"
"76","Ln Th17/IL-10"," "," "," "," "," "," ","0.74"," ","0.38"
"77","Control","281"," "," ","-0.17","1.05"," ","0.18"," ","0.74"
"78","Nutrition + WSH","304"," "," ","-0.18","1.01","-0.01 (-0.21, 0.19)","0.66","-0.08 (-0.28, 0.13)","1"
"79","Ln Th1/Th2"," "," "," "," "," "," ","0.04"," ","0.08"
"80","Control","285"," "," ","1.48","0.77"," ","0.1"," ","0.26"
"81","Nutrition + WSH","308"," "," ","1.34","0.92","-0.14 (-0.3, 0.02)","1","-0.14 (-0.3, 0.02)","1"
"82","Ln Th1/Th17"," "," "," "," "," "," ","1"," ","0.94"
"83","Control","282"," "," ","0.56","0.91"," ","0.16"," ","0.18"
"84","Nutrition + WSH","305"," "," ","0.46","0.92","-0.1 (-0.29, 0.1)","0.66","-0.03 (-0.24, 0.18)","1"
